Round,Timestamp,From Node ID,From Node Role,From Node State,To Node ID,To Node Role,To Node State,Action,Action Value,Consensus Value,Consensus Reached
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Acceptor,Up,PrepareReceive,None,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Unknown,Unknown,PromiseSend,NewPromise,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Acceptor,Up,PrepareSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,2,Acceptor,Up,PrepareReceive,None,None,False
1,2025-11-05 21:49:28,2,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,2,Acceptor,Up,1,Unknown,Unknown,PromiseSend,NewPromise,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,2,Acceptor,Up,PrepareSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,3,Acceptor,Up,PrepareReceive,None,None,False
1,2025-11-05 21:49:28,3,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,3,Acceptor,Up,1,Unknown,Unknown,PromiseSend,NewPromise,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,3,Acceptor,Up,PrepareSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,4,Acceptor,Up,PrepareReceive,None,None,False
1,2025-11-05 21:49:28,4,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,4,Acceptor,Up,1,Unknown,Unknown,PromiseSend,NewPromise,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,4,Acceptor,Up,PrepareSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,5,Acceptor,Up,PrepareReceive,None,None,False
1,2025-11-05 21:49:28,5,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,5,Acceptor,Up,1,Unknown,Unknown,PromiseSend,NewPromise,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,5,Acceptor,Up,PrepareSend,1,None,False
1,2025-11-05 21:49:28,2,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,3,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,4,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,5,Acceptor,Up,1,Unknown,Unknown,PromiseSend,1,None,False
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Acceptor,Up,AcceptSend,1,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,1,Acceptor,Up,AcceptReceive,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,2,Acceptor,Up,AcceptSend,1,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,2,Acceptor,Up,AcceptReceive,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,3,Acceptor,Up,AcceptSend,1,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,3,Acceptor,Up,AcceptReceive,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,4,Acceptor,Up,AcceptSend,1,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,4,Acceptor,Up,AcceptReceive,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,5,Acceptor,Up,AcceptSend,1,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,5,Acceptor,Up,AcceptReceive,example_value,example_value,False
1,2025-11-05 21:49:28,2,Acceptor,Up,2,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,True
1,2025-11-05 21:49:28,2,Acceptor,Up,2,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,2,Acceptor,Up,BroadcastReceive,example_value,example_value,True
1,2025-11-05 21:49:28,3,Acceptor,Up,3,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,True
1,2025-11-05 21:49:28,3,Acceptor,Up,3,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,3,Acceptor,Up,BroadcastReceive,example_value,example_value,True
1,2025-11-05 21:49:28,4,Acceptor,Up,4,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,True
1,2025-11-05 21:49:28,4,Acceptor,Up,4,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,4,Acceptor,Up,BroadcastReceive,example_value,example_value,True
1,2025-11-05 21:49:28,5,Acceptor,Up,5,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,True
1,2025-11-05 21:49:28,5,Acceptor,Up,5,Acceptor,Up,ConsensusStateUpdate,example_value,example_value,False
1,2025-11-05 21:49:28,1,Acceptor,Up,5,Acceptor,Up,BroadcastReceive,example_value,example_value,True
